Ingredient,Website,Value
Acetylated Lanolin Alcohol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=e8f51d2e-c811-ee11-8f6d-00224824ee7b,
Acetylated Lanolin Alcohol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=023c1cfa-0cd1-4477-9fff-7b546f0f172b,
Achillea Millefolium Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=e23f50e9-d948-4aa7-9a1a-fce28399835a,
Achillea Millefolium Flower Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=44237a51-38bf-4df1-8911-12e57f49429e,
Achillea Millefolium Flower/Leaf/Stem Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=de965a65-cfb0-4c0c-ba96-cd752c0e8fab,
Acid Orange 3,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=4223bcbe-6044-4cec-8bea-457ba4d26c97,
Acid Orange 3,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=b92f921d-5df1-ec11-bb3d-6045bda8f435,
Acid Violet 43,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=b8638a9d-fcb5-4029-98e1-82e6c2908824,
Acid Violet 43,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=3e3c7e4c-9805-46e2-8234-f721540de615,
Acrylamide,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=428fb52a-b0b2-4e36-8faf-2632aea4c24c,
Acrylamide/Ammonium Acrylate Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=3a17189b-3eef-43e4-aba5-6222aab3847c,
Acrylamide/Ethyltrimonium Chloride Acrylate/Ethalkonium Chloride Acrylate Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=5a3b92e1-42c0-4ac0-8f89-a9907f3a3c82,
Acrylamide/Sodium Acrylate Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=93dd8269-eea2-41a4-81ec-c2463fc16bb7,
Acrylamide/Sodium Acryloyldimethyltaurate Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=4d4730f3-6fb1-4ce9-8b75-e0a5dc2f2ea9,
Acrylamide/Sodium Acryloyldimethyltaurate/Acrylic Acid Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=84657cc6-7a06-4c45-82bd-b3ea37a0c6a9,
Acrylamidopropyltrimonium Chloride/Acrylamide Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=69286b2f-0555-404d-a3ff-2bb783c3803c,
Acrylamidopropyltrimonium Chloride/Acrylates Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=c9fa268d-a668-4928-b746-2cf43e1bf4e1,
Acrylates Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=1212a6cb-8490-4f18-9539-11b8df473486,
Acrylates Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=fdd3ab4a-abb1-4317-87fe-3d3e51237b77,
Acrylates Crosspolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=769074f7-d148-4165-9000-2e15a0ca7a5e,
Acrylates Crosspolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=8f1d1852-9ab2-4f76-846b-651052f3b722,
Acrylates Crosspolymer-3,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=9650429d-f40e-408a-9d04-a6370c1873b9,
Acrylates Crosspolymer-4,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=46103364-1153-400f-a88e-307ae1b6c604,
Acrylates Crosspolymer-5,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=468c1d43-bd35-43c0-b0f2-50c7e04eab09,
Acrylates/Acrylamide Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=b7c19dab-0272-44ae-a1e7-165991cb0be6,
Acrylates/Ammonium Methacrylate Copolymer,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=35d3d850-94b6-4319-924c-e4511fbf581f,
